Title,data_cid,GPS-Latitude,GPS-Longitude,Class,Description,Rating,Num. Reviews,Overview,PlaceID
Baba Mountain,7.36E+18,41.0032649,21.1842238,Mountain peak,"2601m mountain overlooking Bitola, home to Pelister peak & forested slopes with hiking trails.",4.6,62,,ChIJm3VxaiEyVxMR8kVRM67JLmY
Plac�kovica,1.28E+19,41.7666667,22.5333333,Mountain peak,,4.5,11,"DescriptionPlackovica is a mountain located the eastern part of North Macedonia, it extends between the cities of Radovish, and Vinica.
The highest peak is Lisec at 1,754 m, the length of main valley slopes of the peak Lisec is 34 km. The valley of Zrnovska river splits the mountain in two, eastern and western parts. ",ChIJO_VrMwz0VRMRrMoI1geDY7E
Mt Korab,1.28E+19,41.7901046,20.5470667,Mountain peak,"7 climbing routes reach this 2,751-m. peak, including one that incorporates a gondola ride.",4.8,192,"DescriptionMount Korab is the highest peak of the eponymous mountain range and the fourth highest mountain entirely located in the Balkan Peninsula, standing at 2,764 metres. ",ChIJU_exTxhlURMRgTO8ysRPIbE
Galichica,1.58E+19,40.9641667,20.8327778,Mountain peak,"Snow-capped with flower-covered slopes, this mountain offers river views from its peaks.",4.7,32,"DescriptionGaličica is a mountain situated across the border between North Macedonia and Albania. There is a national park on the North Macedonian side of the mountain, situated between the two biggest lakes in the republic: Lake Ohrid and Lake Prespa. It stretches over an area of 227 square kilometres. ",ChIJWdYlPxbHUBMRKr4jQmYpGNs
Shar Mountains,2.39E+18,42.0833333,20.8333333,Mountain range,"Beyond its sweeping views & soaring peaks, this scenic mountain range features a national park.",4.7,58,,ChIJRwU0MZ_uUxMRPw8Qq334ICE
Deshat,9.64E+18,41.6166667,20.55,Mountain peak,,,,"Description Deshat is a mountain on the border between Albania and North Macedonia. The mountain is characterised by its steep peaks: Mal and Golem Krch�in and Velivar. The highest peak on the mountain, Velivar, 2,375 m above the sea level. Other significant peaks are: Deli Senica, and Suva Bara. ",ChIJ4zDQXTdtURMRq6Bcii0KxYU
Kozhuf,4.34E+18,41.15,22.1666667,Mountain peak,,4.8,17,DescriptionKozhuf mountain or Tzena / Zona is a mountain situated in the southern part of North Macedonia and northern part of Greece. ,ChIJ-1qqARhGVhMRMv6GSQIQPDw
Solunska Glava,1.64E+19,41.6927599,21.3735582,Mountain peak,,4.7,66,,ChIJk6DUYrGmVhMRx4NNdSGa2-M
Ograzhden,4.67E+18,41.55,22.8833333,Mountain peak,,,,"DescriptionOgrazhden is a mountain shared by southeastern North Macedonia and southwestern Bulgaria, part of the Belasitsa-Osogovo group. It is located north of Belasitsa, northeast of the Macedonian town of Strumitsa and northwest of the Bulgarian town of Petrich. ",ChIJ9-HjvsAbqhQRJ8GLgYTKyEA
Skopska Crna Gora,1.64E+19,42.1667,21.4167,Mountain peak,,4.8,13,"DescriptionSkopska Crna Gora, often called and only as Crna Gora, Albanian: Malet e Karadakut, is a mountain range largely in Macedonia, with smaller part in Kosovo. It lies between the cities of Kaçanik and Skopje. The highest peak is Ramno in Macedonia. The largest town on the mountain is Kučevište in North Macedonia. ",ChIJN6xnJP1oVBMR7_l-uo906OI
Vodno,1.09E+19,41.965,21.3944444,Mountain peak,"1,066-m. mountain featuring hiking, churches, the Millennium Cross, the Prskalo waterfall & more.",4.8,107,"DescriptionVodno is a mountain in North Macedonia. It is located in the northern part of the country, to the southwest of the capital city Skopje. The highest point of the mountain is at Krstovar peak, on 1066 meters and the submontane is on 337 meters. ",ChIJt8QeNLoWVBMRF67cNABAxZY
Osogovo,4.80E+18,42.1581283,22.5166901,Mountain peak,"Picturesque, 2252-m. peak known for all-season recreation like skiing & hiking alongside wildlife.",4.5,33,DescriptionOsogovo or Osogovska Planina is a mountain and ski resort between the southwestern part of Bulgaria and the northeastern part of North Macedonia. ,ChIJf7Xteed4VRMR13WOM-1srUI
Kozjak,4.27E+18,42.3083333,21.9288889,Mountain peak,,4.5,8,DescriptionKozjak is a mountain situated on the border between North Macedonia and Serbia. It is situated north-east from Kumanovo. The tallest peak of Kozjak is Virovi at 1284 meters. The region is also known as Kozjačija. ,ChIJk_1hB0ABVRMRafjs80NeMzs
Belasica,1.06E+19,41.33,22.95,Mountain range,"Picturesque mountain range with a lake, waterfalls, Mediterranean climate & watchtower ruins.",4.6,25,"DescriptionBelasica, Belles or Kerkini, is a mountain range in the region of Macedonia in Southeastern Europe, shared by northeastern Greece, southeastern North Macedonia and southwestern Bulgaria. ",ChIJ_06HBKnzqRQRk1Ucl8-xzpI
Jablanica Mountain,1.79E+19,41.25,20.5,Mountain peak,,4.2,5,"DescriptionJablanica is a mountain range in Southern and Southeastern Europe, stretching north-south direction across the border of Albania and North Macedonia.
The long mountain ridge is higher than 2,000 m for approximately 50 km, while the highest part, located in its very center, is Black Stone at 2,257 m high. ",ChIJfUNGpb_8UBMRoFA2g5KB2_g
Dobra Voda,6.28E+18,40.915556,21.166111,Mountain peak,,5,1,"DescriptionDobra Voda is a mountain near the town of Kičevo in North Macedonia. It is the highest peak of the Celoica mountain range, at 2062 metres above the sea level. Due to tectonic movements, the height of this peak and surrounding mountains continues to rise. ",ChIJk2yibzU0VxMRU-HrBSPeNlc
Titov Vrv,1.45E+19,41.9922222,20.7977778,Mountain peak,,4.9,42,"DescriptionTitov Vrv is the highest peak in the Šar Mountains at 2,748 m. It is located about 13 mi northwest of the Macedonian city of Tetovo, near the border with Kosovo. The summit was named after former Yugoslav communist leader Josip Broz Tito. Its original name was Голем Турчин/Golem Turčin. ",ChIJ4YywTXDmUxMRhKk5canKkMk
Jakupitsa,1.81E+19,41.7083333,21.4083333,Mountain peak,,4.4,8,,ChIJzQtkjR6hVhMRHWSFJNoGtvs
Karadzhica,4.19E+18,41.75,21.3333333,Mountain peak,,5,1,,ChIJGbUcDHanVhMR53V5cfTVKDo
Maleshevo,1.17E+18,41.666667,23,Mountain peak,,5,2,"DescriptionThe Maleshevo Mountain or Maleshevo Mountain, is situated in southwestern Bulgaria and eastern North Macedonia. It is the third of the five mountains of the Osogovo-Belasitsa mountain group, known also as the Western Border Mountains. The highest point is Ilyov Vrah. ",ChIJReAiN_YVqhQRHLlVVsFtMhA
Lake Ohrid,1.42E+19,41.0419103,20.7189976,Lake,This large ancient lake straddling the border between Albania & Macedonia reaches a depth of 300m.,4.8,639,"DescriptionLake Ohrid is a lake which straddles the mountainous border between the southwestern part of North Macedonia and eastern Albania. It is one of Europe's deepest and oldest lakes, with a unique aquatic ecosystem of worldwide importance, with more than 200 endemic species. ",ChIJyz_kBwLCUBMRwgGvdMAI0MQ
Mavrovo Lake,2.23E+18,41.7033852,20.7778071,Lake,"Lake bordered by mountains, popular for fishing, boating & views of a partially submerged church.",4.6,101,"DescriptionMavrovo Lake is situated in the Mavrovo region, in the Mavrovo and Rostuša municipality of the Republic of North Macedonia, less than 100 km from Skopje. ",ChIJNUBlFgVDURMRwRAvUWtq5x4
Lake Prespa,1.44E+19,40.8833161,21.022196,Lake,"Picturesque freshwater lake bordered by national parkland, offering trails & abundant flora & fauna.",4.7,264,"DescriptionThe Prespa lakes are two freshwater lakes, with the larger shared between North Macedonia, Albania, and Greece, and the smaller shared between Greece and Albania. Of the total surface area of the larger lake, 176.3 km² belongs to North Macedonia, 46.3 km² to Albania and 36.4 km² to Greece. ",ChIJaa7Z0tuyUBMR4pRRH7nR8Mc
Lake Debar,1.22E+19,41.5014116,20.5275048,Lake,,4.3,51,"DescriptionDebar Lake is an artificial lake in the western portion of North Macedonia near the town of Debar after which it is named. A dam at Špilje blocks the Black Drin, the second longest river in the country.
Lake Debar has a surface area of 13.2 square kilometres and is thus among the largest lakes in North Macedonia. ",ChIJdbgEfRQQURMRFHtlHWxMT6k
Kozjak Lake,1.83E+19,41.8115842,21.1667591,Lake,,4.8,143,,ChIJi-beUgKqVhMR2eOv9_051v0
Dojran Lake,1.73E+19,41.2217524,22.7509656,Lake,"Picturesque lake bordered by national parkland, featuring trails alongside abundant flora & fauna.",4.3,428,"DescriptionDojran Lake, also spelled Doiran Lake is a lake with an area of 43.1 km² shared between North Macedonia and Greece.
To the west is the city of Nov Dojran, to the east the village of Mouries, to the north the mountain Belasica/Beles and to the south the Greek town of Doirani. ",ChIJ147gXSHnqRQRp5JYkpi7k-8
Lake Treska,6.91E+17,41.9836,21.3128,Lake,,3.7,3,,ChIJL7YetpMRVBMR6eM1xZadlwk
Tikvesh Lake,6.17E+18,41.3424938,21.9656632,Lake,,4.5,83,,ChIJVx_K7TxeVhMRkpwExH-MplU
