title,data_cid,snippet,gps_coordinates/latitude,gps_coordinates/longitude,address,sponsored,extensions/0,extensions/1,extensions/2,extensions/3,rating,reviews,position,description,link,unclaimed,place_id,opening_hours/per_day/0/name,opening_hours/per_day/0/value,opening_hours/per_day/1/name,opening_hours/per_day/1/value,opening_hours/per_day/2/name,opening_hours/per_day/2/value,opening_hours/per_day/3/name,opening_hours/per_day/3/value,opening_hours/per_day/4/name,opening_hours/per_day/4/value,opening_hours/per_day/5/name,opening_hours/per_day/5/value,opening_hours/per_day/6/name,opening_hours/per_day/6/value,phone,category,opening_hours/per_day/7/name,opening_hours/per_day/7/value,opening_hours/per_day/8/name,opening_hours/per_day/8/value,opening_hours/per_day/9/name,opening_hours/per_day/9/value,opening_hours/per_day/10/name,opening_hours/per_day/10/value,opening_hours/per_day/11/name,opening_hours/per_day/11/value,opening_hours/per_day/12/name,opening_hours/per_day/12/value,opening_hours/per_day/13/name,opening_hours/per_day/13/value,opening_hours/per_day/14/name,opening_hours/per_day/14/value,opening_hours/per_day/15/name,opening_hours/per_day/15/value,opening_hours/per_day/16/name,opening_hours/per_day/16/value,opening_hours/per_day/17/name,opening_hours/per_day/17/value,opening_hours/per_day/18/name,opening_hours/per_day/18/value,opening_hours/per_day/19/name,opening_hours/per_day/19/value,opening_hours/per_day/20/name,opening_hours/per_day/20/value
National park Mavrovo,6369881126958393900,"Large national park founded in 1949, featuring trails through mountains & canyons & along a river.",41.699567099999996,20.6652778,North Macedonia,false,"4.7  (2,463)",National park,North Macedonia,"Large national park founded in 1949, featuring trails through mountains & canyons & along a river.",4.7,2463,1,"DescriptionThe Mavrovo National Park is the largest of the three national parks of North Macedonia. Located in the west of the country, it spreads over an area of about 780 km² and is characterized by deep canyons, lakes and dense forests that abound with diverse wildlife. ",http://www.npmavrovo.org.mk/,true,ChIJo4v4db9pURMRLOrRySJdZlg,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,+389 42 489 425,National park in the Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Park „Pelister“,5113198171065599468,"Covering 66 sq .mi., this popular forest of rare pines offers trails, wildlife, ski areas & views.",41.001454599999995,21.2129616,North Macedonia,false,4.8  (997),National park,North Macedonia,"Covering 66 sq .mi., this popular forest of rare pines offers trails, wildlife, ski areas & views.",4.8,997,2,"DescriptionPelister National Park is a national park in the Municipality of Bitola, North Macedonia. The park is located in the Baba Mountain massif and covers an area of 171.5 square kilometres. The altitude of the park varies between 927 and 2,601 m above sea level and is filled with exquisite flora and fauna. ",http://park-pelister.com/,true,ChIJK3WZavkkVxMR7MWKTKW69UY,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,+389 47 233 464,National park in the Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park „Woman Warrior“,15898882028002601086,,41.9937196,21.4337418,"Skopje 1000, North Macedonia",false,4.4  (656),Park,"Skopje, North Macedonia",,4.4,656,3,,,true,ChIJw1Qoh7YVVBMRfujv9PcspNw,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skopje City ​​Park,15352303667121235408,,42.0051725,21.4213658,"Skopje 1000, North Macedonia",false,4.6  (988),Park,"Skopje, North Macedonia",In City Park Hotel,4.6,988,4,,http://www.skopje.gov.mk/,true,ChIJFbk0gVEUVBMR0CWwYthWDtU,WednesdayOpen 24 hours,Open 24 hours,ThursdayOpen 24 hours,Open 24 hours,FridayOpen 24 hours,Open 24 hours,SaturdayOpen 24 hours,Open 24 hours,SundayOpen 24 hours,Open 24 hours,MondayOpen 24 hours,Open 24 hours,TuesdayOpen 24 hours,Open 24 hours,+389 2 329 7204,"Park in Skopje, North Macedonia",Wednesday8:30am–4:30pm,8:30am–4:30pm,Thursday8:30am–4:30pm,8:30am–4:30pm,Friday8:30am–4:30pm,8:30am–4:30pm,SaturdayClosed,Closed,SundayClosed,Closed,Monday8:30am–4:30pm,8:30am–4:30pm,Tuesday8:30am–4:30pm,8:30am–4:30pm,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours
National Park „Galichitsa“,18136787321334723981,"Protected area around Mount Galicica, with rugged hiking & biking trails overlooking 2 vast lakes.",40.9672707,20.8400775,North Macedonia,false,"4.7  (2,258)",National park,North Macedonia,"Protected area around Mount Galicica, with rugged hiking & biking trails overlooking 2 vast lakes.",4.7,2258,5,,http://www.galicica.org.mk/,true,ChIJARg1I1W_UBMRjfX21vnPsvs,,,,,,,,,,,,,,,,National park in the Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akvatika Park,1672383078076217995,,41.4008938,22.226441599999998,North Macedonia,false,4.9  (34),Park,North Macedonia,,4.9,34,6,,https://m.facebook.com/Akvatika-Park-1516152995273486/,true,ChIJvZwZqihtVhMRi3obgYx_NRc,,,,,,,,,,,,,,,+389 76 838 358,Park in the Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skopje ZOO,10644231998355368723,,42.0064932,21.418553799999998,"Boulevard Ilinden 89, Skopje 1000, North Macedonia",false,4.5  (810),Park,"Skopje, North Macedonia",,4.5,810,7,,http://www.skopje.gov.mk/,true,ChIJPaxy_VAUVBMRE2vRYJvot5M,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Macedonia,12532490039901882625,,41.9958354,21.405181499999998,"Jurij Gagarin 35, Skopje 1000, North Macedonia",false,4.6  (181),Park,"Skopje, North Macedonia",Open now,4.6,181,8,,,true,ChIJacY2pD8UVBMRAQl5k0pZ7K0,,,,,,,,,,,,,,,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park,12517126212491674946,,41.9869511,21.460965299999998,"Skopje 1000, North Macedonia",false,4.4  (111),Park,"Skopje, North Macedonia",,4.4,111,9,,,true,ChIJ5Q8E3ZIVVBMRQgVMwPjDta0,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapištec Park,16707987920349547404,,41.9939769,21.4136945,"Skopje 1000, Північна Македонія",false,4.5  (202),Park,"Skopje, North Macedonia",Open now,4.5,202,10,,,true,ChIJLS3DaTgUVBMRjMvzp32y3uc,,,,,,,,,,,,,,,,"Парк в Скоп'є, Македонія (Колишня Югославська Республіка Македонія)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
