Title,GPS-Latitude,GPS-Longitude,Type,Location,Rating,Num. Reviews,description,PlaceID,ImageUrl,false
Lake Ohrid,41.0419103,20.7189976,Lake,North Macedonia,4.8,639,Lake Ohrid is a lake which straddles the mountainous border between the southwestern part of North Macedonia and eastern Albania. It is one of Europe's deepest and oldest lakes| with a unique aquatic ecosystem of worldwide importance| with more than 200 endemic species. ,ChIJyz_kBwLCUBMRwgGvdMAI0MQ,../../assets/imgs/activities/Lake Ohrid.jpg,changes=true
Mavrovo Lake,41.7033852,20.7778071,Lake,North Macedonia,4.6,103,Mavrovo Lake is situated in the Mavrovo region| in the Mavrovo and Rostuša municipality of the Republic of North Macedonia| less than 100 km from Skopje. Lake bordered by mountains| popular for fishing| boating & views of a partially submerged church.,ChIJNUBlFgVDURMRwRAvUWtq5x4,../../assets/imgs/activities/Mavrovo Lake.jpg,no changes=false
Lake Debar,41.5014116,20.5275048,Lake,North Macedonia,4.3,51,Debar Lake is an artificial lake in the western portion of North Macedonia near the town of Debar after which it is named. Alongside blocks the Black Drin| the second longest river in the country. Lake Debar has a surface area of 13.2 square kilometres and is thus among the largest lakes in North Macedonia. ,ChIJdbgEfRQQURMRFHtlHWxMT6k,../../assets/imgs/activities/Lake Debar.jpg,""""""
Lake Prespa,40.8833161,21.022196,Lake,North Macedonia,4.7,264,The Prespa lakes are two freshwater lakes| with the larger shared between North Macedonia| Albania| and Greece| and the smaller shared between Greece and Albania. Of the total surface area of the larger lake| 176.3 km² belongs to North Macedonia| 46.3 km² to Albania and 36.4 km² to Greece. Freshwater lake bordered by national parkland| offering trails & abundant flora & fauna.,ChIJaa7Z0tuyUBMR4pRRH7nR8Mc,../../assets/imgs/activities/Lake Prespa.jpg,""""""
Kozjak Lake,41.8115842,21.1667591,Lake,North Macedonia,4.8,143,Kozjak is an artificial lake in Western Macedonia. It is the largest artificial lake in Macedonia| located between the mountain Suva Gora in the west and the Jasen reserve in the east. Towards the lake there are two ways: the southern approach to the lake leads from Makedonski Brod and stretches along the river Treska. The other approach is from Skopje| where the road extends along the southern slopes of Vodno. Kozjak is a 32 km long lake| at some points even 130 meters deep| and the maximum distance from one to the other coast is 400 meters. It is situated at an ideal altitude of less than 300 meters. It has the richest fish fund.,ChIJi-beUgKqVhMR2eOv9_051v0,../../assets/imgs/activities/Kozjak Lake.jpg,""""""
Dojran Lake,41.2217524,22.7509656,Lake,North Macedonia,4.3,429,Dojran Lake| also spelled Doiran Lake is a lake with an area of 43.1 km² shared between North Macedonia and Greece.Lake bordered by national parkland| featuring trails alongside abundant flora & fauna. To the west is the city of Nov Dojran| to the east the village of Mouries| to the north the mountain Belasica/Beles and to the south the Greek town of Doirani. ,ChIJ147gXSHnqRQRp5JYkpi7k-8,../../assets/imgs/activities/Dojran Lake.jpg,""""""
Tikvesh Lake,41.3424938,21.9656632,Lake,North Macedonia,4.5,83,Located on the very river bed of Crna Reka| 12 km southwest of Kavarci| i.e. 3 km south of the village of Vozarci| at an altitude of 165 meters| Tikvesh Lake is at rest. It has a conical shape| and it extends in the north-south direction. The water temperature of 24 degrees Celsius makes Tikvesh Lake a suitable summer destination for various types of sports or for enjoyment in bathing. Archaeological sites in the coastal strip| cultural-historical monuments and the importance of preserving the genetic fund of the ornithofauna make the Tikvesh Lake an interesting destination for research.,ChIJVx_K7TxeVhMRkpwExH-MplU,../../assets/imgs/activities/Tikvesh Lake.jpg,""""""
Lake Matka,41.952238,21.298778,Lake,North Macedonia,4.6,100,Man-made lake in a scenic canyon| stocked for fishing & with an underwater cave.The Matka Lake is formed in this gorgeous canyon as the river running through the gorge is dammed. The created artificial lake is a playground for adventurers willing the escape the city life in Skopje or for those tourists willing to admire the canyon’s beautiful landscapes,ChIJkeKVZzAQVBMR_CJRndgWDpw,../../assets/imgs/activities/Lake Matka.jpg,""""""
Large Lake,40.9678101,21.2043917,Lake,North Macedonia,5,14,Golemo Ezero (Big Lake| Големо Езеро) is a post-glacial lake on Pelister National Park on an altitude of 2218 m. The lake is located in the original part of Ezerska River| a left tributary of the river Sapuncica.,ChIJGwyhGGkxVxMR5AqkhA0Ik5k,../../assets/imgs/activities/Large Lake.jpg,""""""
Treska Lake,41.9823196,21.3120761,Lake,North Macedonia,4.4,31,Lake Treska is an artificial lake near Skopje| along the road to Matka canyon. Built in 1978| it was the city’s main summer recreational center. The complex is located between the villages of Saraj and Glumovo and spreads over an area of 35 ha (418|597 sq yd.) The lake itself covers almost half of the entire complex while the other half goes to green areas| camping sites| pools| restaurants| and other facilities. The center was built with a capacity for 10|000 daily visitors.,ChIJq_iHtJMRVBMR-DwZXFYgkt8,../../assets/imgs/activities/Treska Lake.jpg,""""""
Berovo lake,41.6689922,22.9051355,Lake,North Macedonia,4.6,82,Berovo Lake or Ratevo Lake is an artificial lake located 2 km from the town of Berovo. Berovo Lake extends along pine trees and deciduous trees. The mysterious| peaceful and meek landscape painting adorns the Maleshevo Mountains. They are part of an untouched nature concealed in the pine and deciduous forest| where Berovo Lake is peacefully calm. There| a man simply inhales the sight that has peacefully spread around him| marveling at all that beauty that is a paradise for the eyes and soul. The lake lies within 7 km of the Macedonia-Bulgaria Border| near the town of Berovo. The lake is surrounded by evergreen and deciduous type species of forests. Many locals go swimming| fishing| or sailing in the lake. ,ChIJjVTTLlMRqhQR0m4VUH5Rk58,../../assets/imgs/activities/Berovo Lake.jpg,""""""
Lake Mantovo,41.5686896,22.3442083,Lake,North Macedonia,4.5,36,Lake Mantovo is an artificial lake in the southest part of North Macedonia. It is 18km away from town Radovish and 25km from town Shtip. The Lake has an elongated shape and covers a total area of 4.49km2.,ChIJj-rFbRDiVRMR91b8HciFa4s,../../assets/imgs/activities/Lake Mantovo.jpg,""""""
